Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Gain alt,Perte d'altitude,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Training Stress Score® (TSS®),Difficulté,Constance,Temps passé au fond,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale
Course,2020-02-20 18:03:01,false,"Lyon Course à pied","15.10","809","01:15:25","140","165","3.2","166","176","5:00","3:44","113","111","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:38.95","16","0.0"
Course,2020-02-19 18:36:00,false,"Lyon Course à pied","5.34","313","00:23:51","157","183","3.1","166","175","4:28","3:48","100","100","1.35","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:16.77","6","0.0"
Course,2020-02-18 18:12:39,false,"Lyon Course à pied","13.08","742","00:57:58","157","192","4.6","167","182","4:26","3:39","23","21","1.35","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:27.16","14","0.0"
Course,2020-02-17 18:19:28,false,"Lyon Course à pied","11.27","505","00:50:41","139","187","3.4","167","179","4:30","3:43","41","40","1.33","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:11.06","12","0.0"
Course,2020-02-16 18:48:35,false,"Lyon Course à pied","4.02","239","00:19:06","155","171","2.8","164","191","4:45","4:12","14","14","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:08.28","5","0.0"
Course,2020-02-16 18:11:26,false,"Lyon Course à pied","5.49","333","00:27:49","151","164","3.0","162","170","5:04","4:06","26","26","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:36.94","6","0.0"
Course,2020-02-12 17:54:05,false,"Lyon Course à pied","5.69","366","00:26:02","174","192","3.8","165","249","4:34","3:32","5","5","1.33","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:29.29","6","0.0"
Course,2020-02-10 17:52:48,false,"Lyon Course à pied","6.57","420","00:30:03","172","189","4.2","165","173","4:34","3:46","8","8","1.32","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:50.16","7","0.0"
Course,2020-02-06 18:03:58,false,"Lyon Course à pied","5.59","346","00:26:21","164","196","3.8","163","171","4:43","3:53","4","4","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:14.66","6","0.0"
Course,2020-02-05 17:53:00,false,"Lyon Course à pied","5.62","354","00:28:25","157","176","3.7","160","244","5:03","4:13","100","100","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:35.45","6","0.0"
Course,2020-02-02 18:38:00,false,"Lyon Course à pied","5.37","426","00:29:11","175","188","4.7","162","174","5:26","4:43","100","100","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:06.60","6","0.0"
Course,2020-01-30 19:52:49,false,"Lyon Course à pied","3.51","332","00:20:45","179","194","4.5","160","167","5:55","5:01","4","3","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:05.94","4","0.0"
Course,2020-01-29 17:46:44,false,"Lyon Course à pied","3.24","249","00:18:54","149","157","3.0","159","165","5:50","5:00","9","8","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:27.74","4","0.0"
Course,2020-01-28 06:24:24,false,"Lyon Course à pied","2.53","203","00:16:09","141","161","2.5","157","166","6:23","5:35","9","9","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:29.03","3","0.0"
Course,2019-11-17 17:58:26,false,"Lyon Course à pied","5.16","354","00:24:56","155","169","3.2","165","181","4:50","4:13","8","9","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:48.17","6","0.0"
Course,2019-11-12 18:24:43,false,"Lyon Course à pied","13.36","994","01:17:29","149","185","3.5","165","245","5:48","3:38","361","362","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:03.46","14","0.0"
Course,2019-11-07 18:09:38,false,"Lyon Course à pied","5.14","247","00:20:42","136","148","2.4","171","180","4:02","3:31","11","10","1.45","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:41.52","6","0.0"
Course,2019-11-06 17:52:52,false,"Lyon Course à pied","5.44","276","00:22:15","143","163","2.9","168","175","4:06","3:34","3","4","1.45","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:51.57","6","0.0"
Course,2019-11-04 18:12:54,false,"Lyon Course à pied","5.20","320","00:23:22","155","185","3.4","166","243","4:30","3:18","18","15","1.34","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:53.55","6","0.0"
Course,2019-11-01 07:58:20,false,"Lyon Course à pied","10.26","622","00:45:25","158","183","4.4","166","200","4:26","3:50","73","72","1.36","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:23.86","11","0.0"
Course,2019-10-31 20:20:50,false,"Lyon Course à pied","5.51","336","00:24:08","162","174","3.6","165","173","4:23","3:59","17","17","1.39","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:18.65","6","0.0"
Course,2019-10-30 08:02:31,false,"Lyon Course à pied","7.03","414","00:33:04","148","165","3.5","164","173","4:42","4:10","18","19","1.29","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:11.06","8","0.0"
Course,2019-10-29 08:59:33,false,"Lyon Course à pied","5.35","342","00:28:01","145","164","2.9","160","173","5:14","4:42","11","12","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:52.07","6","0.0"
Course,2019-10-14 18:28:57,false,"Lyon Course à pied","6.01","371","00:27:20","159","177","3.3","164","245","4:33","3:52","13","14","1.34","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:03.39","7","0.0"
Course,2019-10-04 18:07:23,false,"Lyon Course à pied","12.02","542","00:50:42","141","173","3.4","168","175","4:13","3:49","24","21","1.41","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:13.70","13","0.0"
